No,Category,Style_Priority,Color_Mood,Music_Mood,VO_Style,Key_Effects,Platform_Priority,Audience_Age,Decision_Rules,Anti_Patterns,Severity
14,Food & Beverage,"Macro Close-Up + Bright Cheerful",Warm appetizing + Product colors,Upbeat + Satisfying,Friendly appetizing enthusiastic,"Close-ups, satisfying shots, appetite appeal","Instagram, TikTok, TV","Food lovers, broad 18-54","{""must_have"": ""high-quality-food-shots"", ""if_recipe"": ""show-process""}","Unappetizing lighting, fast cuts, no food beauty",HIGH
15,Fashion & Beauty,"Minimalist Clean + Lifestyle Aspirational",Brand + Skin-flattering,Stylish + Trending,Sophisticated aspirational,"Model shots, texture details, lifestyle","Instagram, TikTok, Pinterest","Fashion-forward 18-44","{""if_luxury"": ""quiet-luxury"", ""if_trendy"": ""add-ugc""}","Unflattering lighting, low quality, over-retouched",HIGH
16,Gaming,"Cyberpunk Digital + Retro-Futurism",Neon + Dark backgrounds,Electronic + Epic,Energetic edgy exciting,"Gameplay, epic moments, hype build","YouTube, TikTok, Twitch","Gamers 16-34","{""must_have"": ""gameplay-footage"", ""if_competitive"": ""show-skill""}","Corporate, slow, non-gaming aesthetic",HIGH
17,Travel & Tourism,"Cinematic Documentary + Drone Aerial",Destination colors + Inspiring,Epic orchestral + Inspiring,Inspiring warm adventurous,"Drone shots, immersive scenery, experiences","YouTube, Instagram, Pinterest","Travelers 25-54","{""must_have"": ""stunning-visuals"", ""if_adventure"": ""action-shots""}","Stock footage feeling, generic, indoor-heavy",HIGH
18,Real Estate,"Drone Aerial + Cinematic Documentary",Clean + Luxe neutrals,Elegant + Aspirational,Professional confident welcoming,"Drone tours, interior reveals, neighborhood","YouTube, Facebook, Zillow","Buyers/sellers 30-60","{""must_have"": ""quality-property-shots"", ""if_luxury"": ""premium-production""}","Poor photography, shaky video, no staging",HIGH
19,Automotive,"Cinematic Documentary + Slow Motion",Brand + Metallic,Epic + Engine sounds,Confident powerful aspirational,"Car reveals, performance shots, lifestyle","YouTube, TV, Instagram","Buyers 25-54","{""must_have"": ""hero-car-shots"", ""if_performance"": ""action-footage""}","Static shots, poor lighting, no emotion",HIGH
20,Non-Profit/Cause,"Emotional Storytelling + Authentic UGC",Warm hopeful + Cause colors,Emotional piano + Building,Genuine emotional heartfelt,"Real stories, impact footage, hope","YouTube, Facebook, TV","Donors, advocates 35+","{""must_have"": ""real-beneficiaries"", ""must_have"": ""clear-impact""}","Guilt-heavy, graphic, hopeless tone",HIGH
21,Sports & Fitness,"Inspirational Motivational + Slow Motion",Energetic + Achievement gold,Anthemic + Pump-up,Powerful motivating inspiring,"Action shots, transformation, achievement","YouTube, Instagram, TikTok","Athletes, fitness 18-44","{""must_have"": ""action-footage"", ""if_transformation"": ""before-after""}","Static, no energy, overly commercial",HIGH
22,Technology/Startup,"Futuristic Sci-Fi + Gradient Smooth",Tech blue + Innovation accent,Ambient electronic + Building,Modern confident innovative,"Product demos, interface shots, innovation","YouTube, LinkedIn, Product Hunt","Tech enthusiasts, investors 25-44","{""if_demo"": ""show-working-product"", ""if_b2b"": ""roi-focus""}","Outdated aesthetic, corporate boring, no demo",HIGH
23,Education/EdTech,"Clean Infographic + Conversational Casual",Friendly + Educational colors,Gentle + Encouraging,Friendly encouraging clear,"Animations, diagrams, student success","YouTube, Instagram, TikTok","Students, parents, educators 18-50","{""must_have"": ""clear-explanation"", ""if_kids"": ""playful-elements""}","Boring, overly complex, no engagement",MEDIUM
24,Luxury Goods,"Quiet Luxury + Dark Moody Cinematic",Muted neutrals + Gold,Classical + Elegant,Refined sophisticated hushed,"Texture details, craftsmanship, exclusivity","YouTube, Instagram, Pinterest","Affluent 30-60","{""must_have"": ""premium-production"", ""must_have"": ""material-focus""}","Bright, loud, mass-market feel, UGC",HIGH
25,Entertainment/Media,"Maximalist Bold + Festival Vibrant",Vibrant neon + Dynamic,Trending + High energy,Energetic exciting playful,"Hype cuts, star moments, excitement","YouTube, TikTok, Instagram","Entertainment fans 16-44","{""if_movie"": ""cinematic-trailer"", ""if_music"": ""artist-focus""}","Boring, slow, corporate, no excitement",HIGH
26,Event Promotion,"Festival Vibrant + Time Lapse",Event colors + Energy,Building + Hype,Exciting energetic urgent,"Countdown, highlights, FOMO content","Instagram, TikTok, Facebook Events","Event-goers 18-44","{""must_have"": ""date-visible"", ""must_have"": ""clear-cta""}","No urgency, vague details, boring",HIGH
27,Sustainability/Eco,"Earthy Organic + Nature Inspired",Earth tones + Green,Acoustic + Nature sounds,Genuine warm authentic,"Nature footage, process, impact","Instagram, YouTube, Pinterest","Eco-conscious 25-44","{""must_have"": ""authenticity"", ""must_have"": ""proof-not-claims""}","Greenwashing, corporate, inauthentic",HIGH
28,Pet Products,"Bright Cheerful + Authentic UGC",Warm + Playful,Upbeat playful,Friendly warm loving,"Pet footage, owner testimonials, cute moments","TikTok, Instagram, Facebook","Pet owners 25-54","{""must_have"": ""real-pets"", ""if_funny"": ""embrace-humor""}","Stock pets, overly serious, no pets visible",MEDIUM
29,Subscription Service,"Split Screen + Data Visualization",Brand + Value accent,Modern + Confident,Clear friendly persuasive,"Before/after, value comparison, features","YouTube, Instagram, Display","Target subscribers 25-44","{""must_have"": ""clear-value-prop"", ""if_free_trial"": ""low-risk-cta""}","Complex pricing, hidden value, confusing",HIGH
30,Local Business,"Conversational Casual + Behind The Scenes",Warm local + Brand,Friendly local + Acoustic,Friendly warm local,"Owner story, local connection, community","Facebook, Instagram, Google","Local customers 30+","{""must_have"": ""local-authenticity"", ""if_service"": ""show-results""}","Generic, stock footage, no local feel",MEDIUM
