No,Style,Keywords,Color_Palette,Ideas,Signature_Effects,BG_Music,VO_Style,Purpose,Best_For,Avoid_For
15,Inspirational Motivational,"uplifting, aspirational, powerful, moving, triumph","Bold primaries, golden sunrise, dynamic","Achievement moments, transformation, powerful imagery","Slow motion, epic wide shots, dynamic camera","Anthemic, building crescendo","Passionate, powerful, moving","Sports, wellness, causes","Sports, fitness, self-help, causes","Corporate, B2B, technical"
16,Provocative Edgy,"bold, challenging, controversial, boundary-pushing","High contrast, often B&W with red","Challenging imagery, bold statements, uncomfortable","Stark contrast, jarring cuts, intense framing","Industrial, aggressive electronic","Intense, confrontational","Fashion, cause-driven","Fashion, activism, counter-culture","Family, conservative, healthcare"
17,Authentic UGC,"real, user, genuine, testimonial, community","Natural, uncontrolled lighting","Real customer footage, testimonials, unscripted","iPhone quality, natural audio, candid","Trending sounds, popular music","Real customers speaking","DTC, community brands","DTC, community brands, social proof heavy","Luxury, premium, B2B enterprise"
18,Raw Unpolished,"lo-fi, imperfect, candid, real, anti-polish","Natural, varies, imperfect WB","Behind-scenes, process shots, mistakes kept","Grain, natural imperfections, jump cuts","Lo-fi beats, bedroom pop","Casual, unscripted feel","Gen Z, influencer marketing","Gen Z, influencer collabs, TikTok-native","Luxury, corporate, B2B"
19,Dark Moody Cinematic,"mysterious, sophisticated, noir, dramatic, deep","Deep blues, purples, blacks, selective warm","Low-key lighting, rich shadows, selective focus","Chromatic aberration, film noir lighting","Dark ambient, moody electronic","Hushed, mysterious, intimate","Luxury, premium tech, thriller","Premium tech, luxury, entertainment, thriller","Family, wellness, cheerful"
20,Bright Cheerful,"happy, optimistic, sunny, positive, energetic","Bright yellow, sky blue, white, warm","Smiling people, sunshine, active scenarios","High key lighting, bright whites, warm grading","Upbeat pop, happy acoustic","Cheerful, energetic, positive","Family brands, wellness","Family brands, wellness, food, summer campaigns","Luxury, B2B, serious topics"
21,Monochromatic,"single-color, sophisticated, cohesive, refined","One color family, tints/shades only","Tonal variations, shadow play, texture focus","Subtle gradients within one hue, material textures","Minimal, ambient","Refined, subtle, sophisticated","Luxury, minimalist brands","Luxury, art, sophisticated brands","Youth, entertainment, playful"
22,Bold Color Clash,"vibrant, complementary, energetic, playful, daring","Opposite colors: blue/orange, pink/green","Unexpected pairings, color blocking, bold choices","Hard color blocks, high saturation throughout","Energetic pop, dance","Bold, confident, playful","Fashion, entertainment","Fashion, youth, entertainment, bold brands","Corporate, healthcare, conservative"
23,Earthy Organic,"natural, sustainable, grounded, warm, authentic","Terracotta, sage, warm brown, cream","Natural materials, outdoor settings, organic shapes","Warm color grade, soft shadows, texture emphasis","Acoustic folk, nature sounds","Warm, genuine, grounded","Sustainability, wellness","Sustainability, organic, wellness, outdoor","Tech, gaming, urban, fast-paced"
24,Metallic Luxe,"premium, gold, chrome, elegant, opulent","Gold, silver, rose gold, black","Reflective surfaces, luxury materials, premium finishes","Metallic highlights, reflections, glamour lighting","Elegant orchestral, jazz","Sophisticated, premium","Luxury, jewelry, high-end","Jewelry, luxury goods, premium services","Budget, mass market, casual"
25,Gradient Smooth,"modern, digital, flowing, contemporary, tech","Smooth color transitions, often pastels-to-dark","App interfaces, modern tech, smooth transitions","Seamless color blends, soft shadows, clean edges","Modern electronic, ambient","Modern, clean, friendly","Tech, SaaS, modern brands","SaaS, apps, modern tech, digital services","Traditional, rustic, handmade"
26,Neon Cyber,"neon, glow, cyber, electric, night","Neon green #39FF14, magenta #FF00FF, electric blue","Night scenes, urban glow, electric accents","Neon glow, blur effects, light trails","Electronic, bass-heavy","Electric, energetic","Gaming, nightlife, tech","Gaming, clubs, night events, tech launches","Daytime, wellness, natural"
27,Pastel Soft,"gentle, calming, soft, dreamy, tender","Soft pink, mint, lavender, baby blue","Soft focus, gentle compositions, dreamy mood","Soft glow, gentle shadows, bloom effects","Soft pop, acoustic covers","Gentle, soothing, tender","Beauty, wellness, baby","Beauty, skincare, baby products, wellness","B2B, aggressive, gaming"
28,High Contrast B&W,"dramatic, timeless, artistic, stark, powerful","Pure black, pure white, no grays","Strong shadows, dramatic lighting, bold shapes","Hard shadows, high contrast, grain","Minimal, classical","Dramatic, timeless","Fashion, art, editorial","Fashion editorial, art, premium photography","Colorful brands, playful, children"
29,Vintage Film,"nostalgic, warm, analog, faded, classic","Faded colors, warm yellows, soft contrast","Film-like compositions, classic framing, warm tones","Film grain, light leaks, faded blacks","Vintage tracks, jazz, oldies","Nostalgic, warm, reflective","Heritage brands, storytelling","Heritage brands, craft, storytelling campaigns","Tech, modern, futuristic"
30,Pop Art,"bold, graphic, comic, colorful, iconic","Primary colors, halftone dots, Ben-Day","Comic-style illustrations, bold outlines, iconic imagery","Halftone effects, bold outlines, color separation","Upbeat retro, pop","Bold, playful, iconic","Entertainment, youth, art","Entertainment, pop culture, youth brands","Luxury, B2B, conservative"
31,Minimalist Tech,"clean, efficient, geometric, precise, functional","White, gray, single accent color","Clean interfaces, geometric shapes, precision","Clean lines, minimal shadows, functional design","Ambient electronic, minimal","Clear, efficient, modern","Tech products, SaaS, apps","Tech products, developer tools, productivity","Creative, entertainment, playful"
32,Luxe Dark Mode,"premium, dark, sophisticated, elegant, rich","Deep blacks, gold accents, rich jewel tones","Premium dark interfaces, selective highlights","Rich shadows, subtle gradients, gold accents","Elegant electronic, deep bass","Sophisticated, premium, exclusive","Premium apps, luxury tech","Premium apps, luxury tech, exclusive services","Budget, children, bright brands"
33,Nature Inspired,"organic, botanical, green, fresh, natural","Greens, earth tones, sky blue, flower colors","Nature imagery, botanical elements, outdoor scenes","Natural lighting, organic textures, soft greens","Nature sounds, acoustic","Fresh, natural, grounding","Eco brands, outdoor, wellness","Eco brands, outdoor gear, natural products","Urban, tech, artificial"
34,Urban Street,"gritty, urban, raw, authentic, street","Concrete gray, asphalt black, graffiti colors","Street scenes, urban textures, authentic locations","Gritty textures, street photography style","Hip-hop, urban electronic","Urban, authentic, raw","Streetwear, sneakers, urban culture","Streetwear, sneakers, urban lifestyle brands","Luxury, corporate, rural"
35,Corporate Modern,"professional, clean, trustworthy, corporate, polished","Blue, gray, white, accent green/orange","Business settings, professional people, clean design","Clean gradients, professional photography","Corporate ambient, subtle","Professional, confident, trustworthy","B2B, enterprise, professional services","B2B enterprise, consulting, professional services","Youth, entertainment, casual"
36,Festival Vibrant,"celebration, colorful, joyful, festival, dynamic","Rainbow spectrum, bright neons, metallics","Celebration scenes, confetti, dynamic movement","Motion blur, confetti effects, light trails","Festival music, upbeat electronic","Joyful, energetic, celebratory","Events, celebrations, entertainment","Festivals, events, celebrations, launches","Serious, B2B, healthcare"
37,Handcrafted Artisan,"crafted, artisan, handmade, authentic, detailed","Warm earth tones, natural materials, aged","Hands at work, process shots, detailed textures","Warm lighting, detailed macro, texture focus","Acoustic, folk, workshop sounds","Authentic, passionate, detailed","Craft brands, artisan products","Craft brands, artisan products, handmade goods","Mass production, tech, fast-paced"
38,Tech Minimal,"clean, geometric, code, developer, efficient","Dark gray, white, syntax highlighting colors","Code visuals, geometric patterns, clean interfaces","Clean animations, code typography, monospace","Ambient electronic, lo-fi coding","Technical, precise, efficient","Developer tools, tech products","Developer tools, technical products, APIs","Creative, emotional, mass consumer"
39,Lifestyle Aspirational,"aspirational, lifestyle, dream, curated, goals","Bright, warm, naturally lit, aspirational","Beautiful spaces, aspirational moments, curated life","Soft focus, golden hour, lifestyle photography","Chill pop, indie acoustic","Aspirational, warm, inspiring","Lifestyle brands, travel, home","Lifestyle brands, travel, home decor, fashion","Budget, B2B, technical"
40,Data Visualization,"informative, data, analytical, clear, insight","Blues, greens, clean backgrounds, accent colors","Charts, graphs, data stories, infographics","Animated charts, smooth transitions, clean graphics","Ambient, subtle electronic","Informative, clear, analytical","B2B, finance, analytics","B2B analytics, finance, research, reports","Emotional, storytelling, creative"
41,Behind The Scenes,"authentic, bts, process, real, transparent","Natural lighting, uncontrolled environments","Production shots, team at work, real moments","Documentary style, natural audio, raw footage","Production sounds, ambient","Real, transparent, authentic","Brand transparency, launches","Brand transparency, product launches, team culture","Polished, formal, luxury"
42,Split Screen,"comparison, before-after, dual, contrast, choice","Varies by content, often contrasting","Side-by-side comparisons, transformations, choices","Clean splits, synchronized motion","Varies by content","Clear, comparative, informative","Comparisons, transformations, choices","Before/after, product comparisons, transformations","Narrative, emotional, storytelling"
43,Stop Motion,"playful, crafted, unique, animated, tactile","Varies, often bright and playful","Object animations, product assembly, playful movement","Stop motion animation, handcrafted feel","Playful, quirky music","Playful, unique, engaging","Creative brands, food, products","Food brands, creative products, unique campaigns","Serious, corporate, fast-paced"
44,Drone Aerial,"epic, scale, landscape, perspective, grand","Blues, greens, earth tones from above","Aerial views, landscapes, scale demonstrations","Smooth drone movements, revealing shots","Epic orchestral, ambient","Grand, epic, awe-inspiring","Travel, real estate, events","Travel, real estate, large events, outdoor","Indoor, small scale, intimate"
45,Time Lapse,"progress, transformation, time, change, fast-forward","Varies by subject, often day-to-night","Construction progress, day cycles, busy scenes","Time compression, smooth transitions","Building music, ambient","Progressive, dynamic, efficient","Progress, construction, events","Construction, events, urban, transformations","Detailed, intimate, slow-paced"
46,Macro Close-Up,"detail, texture, intimate, precision, focus","Subject-specific, rich detail colors","Extreme close-ups, texture reveals, detail focus","Shallow DOF, smooth focus pulls, detail lighting","Intimate, delicate music","Detailed, precise, intimate","Beauty, food, luxury products","Beauty, food, jewelry, product details","Wide shots, landscapes, action"
47,Slow Motion,"dramatic, impact, emphasis, emotional, powerful","Varies, often muted or dramatic","Action moments, emotional beats, product reveals","120fps+, dramatic timing, emphasis","Dramatic, building music","Dramatic, impactful, emotional","Sports, luxury, emotional moments","Sports, luxury reveals, emotional campaigns","Fast-paced, comedy, quick content"
48,Kinetic Typography,"text, motion, dynamic, message-driven, bold","High contrast, minimal, text-focused","Moving text, message emphasis, quote animations","Text animations, dynamic layouts, rhythm-based","Beat-driven, rhythmic","Punchy, message-driven, dynamic","Quotes, manifestos, key messages","Social content, manifestos, key message campaigns","Visual-heavy, product focus, subtle"
49,Isometric 3D,"geometric, 3D, illustrated, tech, clean","Flat colors, clean palette, accent highlights","Isometric illustrations, tech diagrams, app mockups","Smooth 3D animations, clean geometries","Tech ambient, playful electronic","Modern, clean, explanatory","Tech explainers, SaaS, apps","SaaS explainers, tech products, infographics","Realistic, emotional, storytelling"
50,Collage Mixed Media,"eclectic, layered, artistic, mixed, creative","Varied, often contrasting, paper textures","Cut-out style, mixed elements, texture layers","Layered compositions, texture mixing, movement","Eclectic, indie, experimental","Creative, artistic, unique","Creative brands, fashion, art","Creative agencies, fashion, art campaigns","Corporate, clean, minimal"
51,Duotone,"two-tone, bold, modern, striking, simplified","Two contrasting colors, often brand colors","Duotone photography, bold color overlays, simplified","Color overlay, high contrast, simplified","Modern electronic, bold","Bold, modern, striking","Tech, music, bold brands","Tech brands, music, bold campaigns","Realistic, detailed, traditional"
52,Vaporwave Aesthetic,"surreal, 80s-90s, digital, nostalgic, internet","Pink, cyan, purple, Greek statues, grids","Surreal compositions, retro tech, dreamy","Glitch, VHS effects, surreal imagery","Vaporwave music, slowed tracks","Dreamy, ironic, surreal","Internet culture, Gen Z, ironic","Internet culture, ironic campaigns, Gen Z memes","Corporate, traditional, serious"
53,Clean Infographic,"informative, educational, clear, structured, data","Clean whites, blues, greens, accent colors","Data visualizations, process flows, comparisons","Clean animations, icon-driven, structured","Subtle, educational","Clear, educational, informative","Educational content, explainers","Educational content, how-tos, explainers","Entertainment, emotional, storytelling"
54,Immersive 360/VR,"immersive, 360, experiential, interactive, spatial","Environment-specific, often rich and detailed","Virtual tours, immersive experiences, spatial content","360 video, spatial audio, interactive elements","Spatial audio, ambient","Immersive, experiential, guiding","Real estate, travel, events","Real estate, travel, immersive experiences","Quick content, simple messages, budget"
55,AI Generated Art,"surreal, generated, unique, experimental, creative","Varied, often surreal color combinations","AI imagery, generated visuals, experimental","AI-specific aesthetics, dreamy quality","Experimental electronic, ambient","Creative, experimental, unique","Experimental campaigns, tech","Tech/AI campaigns, experimental marketing","Traditional, realistic, conservative"
